date,country,cpi
1987-04-01,France,62.56827
1987-04-01,Germany,60.473780000000005
1987-04-01,Japan,88.41897
1987-04-01,New Zealand,51.08523
1987-04-01,Sweden,54.63958
1987-04-01,United Kingdom,49.20146
1987-04-01,United States,48.48799
1987-07-01,Australia,44.83096
1987-07-01,Canada,55.76831
1987-07-01,France,62.97292
1987-07-01,Germany,60.520680000000006
1987-07-01,Japan,88.44582
1987-07-01,New Zealand,52.00982
1987-07-01,Sweden,55.2088
1987-07-01,United Kingdom,49.47644
1987-07-01,United States,48.94166
1987-10-01,Australia,45.58626
1987-10-01,Canada,56.29032
1987-10-01,France,63.3198
1987-10-01,Germany,60.67772
1987-10-01,Japan,88.82056
1987-10-01,New Zealand,53.32841
1987-10-01,Sweden,56.24493
1987-10-01,United Kingdom,50.09563
1987-10-01,United States,49.62904
1988-01-01,Australia,46.39696
1988-01-01,Canada,56.89096
1988-01-01,France,63.73599
1988-01-01,Germany,61.16197
1988-01-01,Japan,88.39999
1988-01-01,New Zealand,54.29974
1988-01-01,Sweden,57.04097
1988-01-01,United Kingdom,50.29803
1988-01-01,United States,50.01398
1988-04-01,Australia,47.29076
1988-04-01,Canada,57.68789
1988-04-01,France,64.41988
1988-04-01,Germany,61.4418
1988-04-01,Japan,89.19559
1988-04-01,New Zealand,54.60767
1988-04-01,Sweden,58.1794
1988-04-01,United Kingdom,51.62851
1988-04-01,United States,50.60513
1988-07-01,Australia,48.07576
1988-07-01,Canada,58.33772
